application_date,gender,purpose_of_loan,employment_status,loan_type,property_ownership_status,monthly_income,debt_to_income_ratio,cibil_score,interest_rate_offered,loan_amount_requested,number_of_dependents,loan_tenure_months,applicant_age,existing_emis_monthly
2026-04-19,Male,Medical Emergency,Unemployed,Education Loan,Jointly Owned,39489.494958958174,0.0,669,6.227639694592591,180761.6013843955,3,12,41,4451.862359728165
2026-04-24,Male,Debt Consolidation,Unemployed,Business Loan,Jointly Owned,59664.956894232404,19.257823029897644,639,11.360468210060256,120166.26242406016,0,24,31,3896.7808892532353
2026-04-04,Male,Business Expansion,Unemployed,Business Loan,Owned,29194.28696827712,0.0,726,6.284573844904975,160686.83522560386,2,360,21,3951.992010010258
2026-04-22,Female,Education,Student,Personal Loan,Owned,50921.066794493716,16.52913376204034,652,11.316738878396908,132200.67545404346,1,48,25,5404.564787077726
2026-04-28,Female,Home Renovation,Salaried,Business Loan,Owned,38833.63107059033,43.01217211300801,698,9.058847661859197,131084.30991063465,3,60,50,1479.489612252211
2026-04-14,Male,Education,Unemployed,Car Loan,Rented,45589.842559178986,0.0,688,8.404550512951321,100000.0,4,60,46,924.8868062877546
2026-04-02,Female,Debt Consolidation,Retired,Car Loan,Jointly Owned,20231.128235604745,12.930778291283552,833,11.238037592903435,152219.15051860907,0,360,37,0.0
2026-04-30,Male,Education,Business Owner,Personal Loan,Jointly Owned,63842.40395072577,36.28664348385108,759,16.29212578060766,170439.44210998045,4,360,39,4936.541080362341
2026-04-17,Female,Business Expansion,Retired,Home Loan,Owned,45275.62733524502,12.315991548292708,797,14.176671702042833,192173.81977580435,2,36,27,11116.654805465685
2026-04-06,Male,Home Renovation,Retired,Home Loan,Rented,49331.21922357168,8.67030271277063,731,10.508845683875819,100000.0,4,24,50,0.0
2026-04-08,Male,Education,Unemployed,Business Loan,Rented,57252.83663967097,2.554582311972572,721,11.264559982612543,197651.21635046357,4,120,30,4447.511367577168
2026-04-29,Female,Business Expansion,Business Owner,Business Loan,Rented,40036.648116204575,0.0,732,10.25818937623167,186362.9300035088,0,48,42,4357.377797526987
2026-04-16,Male,Wedding,Business Owner,Personal Loan,Rented,43607.32331809499,0.0,662,9.803828092620348,223623.4087498949,4,12,24,4543.801248427249
2026-04-21,Female,Business Expansion,Business Owner,Car Loan,Rented,24497.557008450964,1.430593620127202,607,14.553968634230607,131801.00110866505,0,120,36,8770.403748190078
2026-04-01,Male,Wedding,Business Owner,Personal Loan,Owned,46142.98361188268,9.457969932854683,745,11.240323190147233,153435.2970240473,2,12,50,2334.791372770071
2026-04-26,Male,Business Expansion,Self-Employed,Home Loan,Owned,74129.35682480093,10.84516934628876,739,11.84403206313769,100000.0,3,36,28,0.0
2026-04-18,Female,Home Renovation,Business Owner,Car Loan,Owned,55095.365808535586,22.511524406204202,813,11.549762724670813,146903.8535122759,0,12,45,3397.1508455123617
2026-04-03,Female,Business Expansion,Unemployed,Business Loan,Jointly Owned,28446.09210094228,21.691733367456745,767,10.380581865883483,134206.4478481155,3,360,27,2996.4969918549577
2026-04-29,Male,Home Renovation,Student,Home Loan,Rented,57354.78605907209,11.874520321557206,664,7.920486638711466,157601.72494187864,1,48,28,0.0
2026-04-29,Male,Vehicle Purchase,Business Owner,Education Loan,Rented,70209.79070432075,13.492243034036079,609,8.370424459259244,147849.94960866476,4,48,37,5736.46018851056
2026-04-28,Female,Wedding,Retired,Home Loan,Jointly Owned,35835.671691344636,7.694795301705261,726,11.317629054939536,190579.38713803852,3,360,47,1441.9621183780996
2026-04-18,Female,Debt Consolidation,Self-Employed,Car Loan,Rented,47766.88831781488,0.0,700,12.028962900776362,139817.43946755494,4,60,35,4750.701455330593
2026-04-25,Female,Debt Consolidation,Retired,Car Loan,Rented,48233.85300681996,22.629120733083596,654,7.529494559650977,213654.9869415098,0,24,44,3911.4798235454946
2026-04-10,Female,Debt Consolidation,Unemployed,Personal Loan,Rented,52823.01106719403,6.153688981237199,742,8.801615264497057,100000.0,4,24,49,1777.952085830956
2026-04-02,Female,Vehicle Purchase,Unemployed,Car Loan,Rented,52708.77528378972,12.543988000287644,603,9.16760951066027,214654.22054321042,2,12,30,7671.88152857055
2026-04-19,Male,Business Expansion,Student,Education Loan,Rented,60476.75885604245,47.340051859890835,649,8.178101756168683,100000.0,3,24,22,4155.620288775479
2026-04-30,Female,Home Renovation,Student,Education Loan,Owned,49100.144835616076,22.24980790315403,900,5.388074663961052,191118.54898345086,4,360,34,5162.814701086632
2026-04-30,Female,Vehicle Purchase,Business Owner,Car Loan,Rented,69501.93310025813,5.498034787771708,620,7.243986260871207,183780.93512383167,3,36,50,6759.218769508335
2026-04-25,Female,Debt Consolidation,Student,Business Loan,Owned,22160.128208067836,0.0,734,10.424289005000727,100000.0,3,24,29,5865.504937148429
2026-04-11,Male,Medical Emergency,Unemployed,Car Loan,Owned,33757.98485755311,25.224081158975903,779,11.941770607574211,211172.0346229666,2,120,48,5435.000337749534
2026-04-19,Female,Debt Consolidation,Self-Employed,Business Loan,Owned,73300.26462612957,0.0,766,8.811769823517373,100000.0,0,360,35,2527.424108933678
2026-04-24,Female,Business Expansion,Student,Car Loan,Owned,43840.918894569884,2.2446692195791007,753,11.663761987790934,100000.0,4,12,55,1663.2642030369607
2026-04-24,Female,Wedding,Retired,Home Loan,Jointly Owned,59345.23454098527,0.0,735,10.765291460492783,127593.28202581004,1,24,60,5473.542534767532
2026-04-27,Male,Vehicle Purchase,Unemployed,Car Loan,Owned,49037.40540633017,1.2561221796876696,697,12.270379844999882,129994.20916618082,3,120,48,2114.2534682083888
2026-04-30,Male,Medical Emergency,Student,Home Loan,Jointly Owned,65176.61458768619,1.0653283110539178,813,14.651514532560345,119708.19454772396,0,48,21,7383.323326978184
2026-04-03,Female,Vehicle Purchase,Student,Business Loan,Jointly Owned,57197.70964694029,10.798414668808228,809,8.33202318681346,153504.12241155657,1,48,21,4611.380776543622
2026-04-10,Female,Education,Unemployed,Car Loan,Owned,90565.78937969342,5.458259464150984,779,9.327396126492097,168517.70619630127,3,60,38,6945.8360749516305
2026-04-16,Female,Medical Emergency,Self-Employed,Business Loan,Rented,50638.79793977779,22.773273433773028,827,7.45489699819943,145985.88826546958,1,360,47,2042.6835911841622
2026-04-30,Female,Education,Salaried,Education Loan,Rented,44734.889520255834,18.174605600843776,775,14.30758390665148,100000.0,4,60,43,1576.4056070174765
2026-04-30,Male,Medical Emergency,Salaried,Personal Loan,Owned,70171.53765416998,21.161583545245204,672,9.439118254092943,107371.41261524393,4,60,30,10036.61936750431
2026-04-28,Male,Home Renovation,Self-Employed,Business Loan,Owned,61197.85295027181,0.0,643,11.12319453100716,255384.27038543305,3,60,23,4551.59391679366
2026-04-26,Male,Medical Emergency,Unemployed,Home Loan,Jointly Owned,38860.28974797295,6.592401851593132,728,12.148371012543581,100000.0,3,24,47,7739.648776140844
2026-04-03,Female,Debt Consolidation,Self-Employed,Personal Loan,Jointly Owned,64109.991209850006,17.97170125086878,722,14.106773179692023,100000.0,4,360,56,764.2387742772735
2026-04-24,Male,Wedding,Self-Employed,Car Loan,Rented,54039.18527992509,9.875360197196668,736,6.811841325955598,100000.0,0,360,31,4150.915176708895
2026-04-19,Female,Education,Salaried,Home Loan,Jointly Owned,52306.10501417249,0.0,821,12.878987544730204,198507.09861372408,1,120,46,8907.082654705997
2026-04-20,Female,Education,Business Owner,Personal Loan,Jointly Owned,57545.92625062232,0.0,668,5.656113993839743,198014.2285192838,3,12,64,306.1314611539574
2026-04-21,Female,Vehicle Purchase,Student,Personal Loan,Owned,63167.983467030936,36.32843473903574,686,7.6767055254209415,169855.44094197516,3,24,36,11825.946318292967
2026-04-07,Female,Debt Consolidation,Unemployed,Business Loan,Jointly Owned,53850.581541309606,15.63284218949083,722,9.97720122681819,214336.8940801263,2,12,36,5607.61635140317
2026-04-17,Female,Home Renovation,Retired,Car Loan,Jointly Owned,47044.9961765168,0.0,687,10.481348388553362,113849.49395344462,1,12,43,2543.1954476682436
2026-04-08,Female,Medical Emergency,Self-Employed,Car Loan,Jointly Owned,82329.86630271329,0.0,552,14.335525344793895,100000.0,4,12,35,6055.846179231802
2026-04-03,Male,Home Renovation,Salaried,Car Loan,Rented,50397.8193364846,0.0,662,10.648743593340267,163794.50199340424,3,12,51,8327.407107118566
2026-04-07,Male,Debt Consolidation,Business Owner,Business Loan,Owned,71054.76869139358,0.0,620,10.436098039062278,173649.45840188343,3,48,33,2523.318726810458
2026-04-27,Male,Wedding,Unemployed,Business Loan,Rented,42565.82454350364,0.0,808,11.004597819433737,159520.46181301028,4,120,37,2953.9134894739955
2026-04-10,Male,Medical Emergency,Self-Employed,Car Loan,Owned,38310.305276052575,26.845149636780548,632,13.379699262463923,134535.07310787373,1,12,23,5747.390154446704
2026-04-27,Female,Debt Consolidation,Salaried,Personal Loan,Owned,65551.5110165183,16.572448596206076,695,8.735579637456002,201396.90100892395,0,24,35,6389.062394002167
2026-04-19,Male,Education,Self-Employed,Car Loan,Jointly Owned,47194.5595273358,0.0,703,6.426650989822579,147819.13892946343,4,12,27,4404.68733683024
2026-04-25,Female,Education,Retired,Business Loan,Rented,21902.965169581614,0.0,738,10.767415474545993,162652.02450535898,0,48,41,6207.019190470164
2026-04-15,Male,Education,Unemployed,Car Loan,Rented,47924.150250559396,0.0,719,10.742265103116521,148559.54882949975,3,24,21,7560.6476699090435
2026-04-26,Female,Business Expansion,Student,Business Loan,Jointly Owned,58605.10483968865,0.0,724,10.079777602217085,125381.95256681184,0,360,47,5519.923209458251
2026-04-15,Male,Business Expansion,Unemployed,Car Loan,Rented,40554.41500127177,4.3230728492488,628,14.632222947762662,100000.0,0,120,29,2925.574459482464
2026-04-05,Male,Education,Unemployed,Personal Loan,Owned,38712.742946053295,0.0,677,12.645596324343192,171078.5694066761,4,36,55,4937.189153789099
2026-04-03,Male,Wedding,Unemployed,Personal Loan,Owned,53900.35444526687,4.937224261703873,588,5.77356807824282,100000.0,3,24,51,10268.718740890792
2026-04-03,Female,Business Expansion,Salaried,Business Loan,Owned,33883.64224460372,0.0,729,9.274837971468713,118270.159502136,1,360,43,5999.210649742935
2026-04-29,Male,Wedding,Retired,Business Loan,Jointly Owned,55605.91877911667,7.564667417853313,637,11.773405699431905,124989.59145746613,2,48,22,8720.707109824725
2026-04-04,Female,Business Expansion,Self-Employed,Home Loan,Rented,66531.64123486361,11.881637467733562,806,11.58052246350908,100000.0,0,120,31,3456.9835696498603
2026-04-15,Female,Vehicle Purchase,Salaried,Education Loan,Owned,70510.08759479073,0.0,540,13.292074734131912,135387.473720052,3,48,29,5787.922910638633
2026-04-16,Male,Debt Consolidation,Business Owner,Home Loan,Jointly Owned,41234.2458881464,0.0,852,14.30647649067516,172326.23847952118,2,60,30,7382.9451273546365
2026-04-05,Male,Vehicle Purchase,Unemployed,Business Loan,Owned,77693.65007971838,5.732148173497846,717,11.535714517915487,156418.8449468957,1,36,53,9493.273036194225
2026-04-21,Female,Wedding,Unemployed,Business Loan,Owned,59809.72119176797,21.557842977844423,674,12.056460815508238,121273.60656236157,2,12,36,8682.766189218479
2026-04-08,Male,Medical Emergency,Self-Employed,Car Loan,Rented,40924.482908746446,25.644849958609502,743,7.084883182352678,180921.04217009034,1,360,31,1642.1980906537037
2026-04-10,Female,Education,Unemployed,Home Loan,Jointly Owned,44675.13822488563,7.040631242500126,815,8.825308296269313,163180.4780696366,2,48,30,8455.557127570406
2026-04-22,Male,Vehicle Purchase,Unemployed,Education Loan,Owned,40523.46326754516,12.824859513048471,849,9.148947434738107,100000.0,1,60,32,10058.000734440287
2026-04-21,Female,Vehicle Purchase,Self-Employed,Home Loan,Owned,20204.759685901914,6.379649304492679,698,6.981376930417107,111190.47443713408,0,60,43,3275.3165514901502
2026-04-02,Female,Business Expansion,Retired,Personal Loan,Jointly Owned,72312.9567294863,26.844981619616494,539,12.42728330003002,100000.0,2,120,21,2316.5990607848703
2026-04-14,Female,Debt Consolidation,Salaried,Personal Loan,Jointly Owned,54251.90045517751,33.5679654472183,692,10.839778600391103,132536.03427481343,1,12,38,4926.696150314005
2026-04-05,Male,Debt Consolidation,Retired,Home Loan,Rented,60748.78267462812,20.745846356067624,656,15.114609297638594,116559.82948569296,3,360,42,5538.493109249169
2026-04-07,Female,Vehicle Purchase,Self-Employed,Home Loan,Owned,52492.3882630399,15.103657608135677,751,12.166175781828704,138554.10615084635,4,360,21,3949.7925154756695
2026-04-11,Female,Medical Emergency,Student,Business Loan,Rented,28324.331530868432,15.205693598896225,665,11.344512948910475,246714.26972651258,2,360,23,1439.795532867302
2026-04-03,Male,Wedding,Student,Car Loan,Owned,56187.402402460946,10.56273902135297,608,14.43323249805174,100000.0,2,120,37,9417.218042234534
2026-04-30,Female,Debt Consolidation,Student,Personal Loan,Rented,65340.47362758028,0.0,657,8.72735246060702,100000.0,2,24,52,2420.1179121935447
2026-04-12,Female,Home Renovation,Unemployed,Education Loan,Owned,65239.18697964355,0.588984556129792,808,5.984951701599728,224767.33036765974,2,36,50,3479.217276794758
2026-04-14,Female,Home Renovation,Unemployed,Car Loan,Jointly Owned,67384.71761475406,12.349702351468286,709,12.87911518957503,176347.89593133546,4,12,31,5327.376358296085
2026-04-23,Female,Education,Retired,Home Loan,Rented,51755.909318637445,0.9500013238405094,777,11.56848728312255,198801.06252471404,2,120,52,582.559708719723
2026-04-29,Male,Vehicle Purchase,Business Owner,Personal Loan,Jointly Owned,15479.191109086161,0.0,665,10.195229037083708,132755.0683854505,0,12,34,353.3176949126091
2026-04-01,Male,Medical Emergency,Salaried,Home Loan,Owned,61184.663401440965,5.553589208204317,793,9.330261056246718,184426.21500099107,0,24,34,3704.942900205309
2026-04-29,Female,Vehicle Purchase,Unemployed,Personal Loan,Jointly Owned,52072.356536634165,0.0,629,8.713904611233628,143696.31116757088,3,24,38,7476.890553827265
2026-04-22,Male,Home Renovation,Self-Employed,Education Loan,Rented,80919.3565388503,37.10763634027326,638,10.50941662128868,193339.49492934524,4,48,46,5564.010539145181
2026-04-16,Female,Wedding,Retired,Car Loan,Rented,79425.74990930983,0.07317828597402176,808,11.054828666714027,200873.52833868176,3,24,31,0.0
2026-04-15,Female,Medical Emergency,Salaried,Education Loan,Jointly Owned,67505.70342847868,8.144971917830828,804,12.278700514738972,196176.4564203136,0,24,34,9168.450522549076
2026-04-01,Male,Wedding,Student,Education Loan,Owned,30351.27075167355,26.46354345856668,546,6.943972686933429,117275.88914284861,2,36,25,7392.228105115721
2026-04-23,Male,Education,Business Owner,Car Loan,Rented,34370.57144129442,45.522627687982116,778,13.303625217309834,154616.77341343445,2,120,41,5573.041476382768
2026-04-22,Male,Debt Consolidation,Student,Car Loan,Owned,58836.23889806257,5.681070757065301,591,10.034832566464242,102074.59203841358,1,120,47,5492.582196833879
2026-04-13,Female,Debt Consolidation,Student,Education Loan,Rented,33519.47074755753,0.0,784,10.68877889111894,177651.38308477702,4,360,47,7020.248682254785
2026-04-26,Male,Debt Consolidation,Unemployed,Home Loan,Owned,64262.92952390663,18.249338598743492,781,8.675107979515698,166967.26744708084,1,360,24,11978.95657352082
2026-04-27,Male,Home Renovation,Retired,Car Loan,Owned,64883.963169356866,7.951039383916512,825,11.689999352252235,100000.0,4,36,34,7641.572594922083
2026-04-15,Female,Wedding,Unemployed,Education Loan,Jointly Owned,74414.65937236794,6.479601205772639,835,15.125282720667897,172955.88288030805,4,36,50,5888.502679619259
2026-04-17,Male,Medical Emergency,Retired,Education Loan,Owned,67397.86115253206,11.444389091320883,717,12.503172677645788,171798.41704600482,2,12,40,1318.6969607355381
2026-04-09,Female,Home Renovation,Business Owner,Education Loan,Rented,45191.33714206077,15.169494827391468,679,9.424002440817356,178377.53877098762,2,360,38,5493.557096186395
2026-04-05,Male,Business Expansion,Self-Employed,Home Loan,Jointly Owned,50032.981125465274,38.899191904923,697,6.146439151043873,152317.27157403293,3,36,38,7319.936522459374
2026-04-27,Male,Medical Emergency,Self-Employed,Business Loan,Rented,38291.99650593129,0.0,688,8.999659145417201,178241.19173022092,0,36,43,4654.447628762393
2026-04-23,Male,Education,Salaried,Business Loan,Jointly Owned,55009.17450637432,37.56752149903869,678,9.160674324139208,165716.73974177404,0,60,40,3431.64347338055
2026-04-12,Male,Wedding,Unemployed,Car Loan,Jointly Owned,18369.628898580882,5.305096609553595,684,11.567533008157456,105462.64622861662,2,36,32,6660.937352709403
2026-04-17,Male,Home Renovation,Unemployed,Business Loan,Owned,46606.09901884888,22.0179001329359,789,8.88719265924151,181555.72844906367,0,12,46,2035.8272943473808
2026-04-11,Male,Debt Consolidation,Unemployed,Personal Loan,Owned,61485.37214924064,10.847961707231525,595,8.56982994923744,102360.11898482688,4,120,25,7603.891062240718
2026-04-11,Female,Debt Consolidation,Self-Employed,Car Loan,Rented,60248.34555162075,8.904733803975946,785,9.638299019710256,100000.0,0,60,51,3693.309687341781
2026-04-24,Female,Debt Consolidation,Salaried,Car Loan,Rented,64015.48080594256,11.493923390313403,698,10.40894289889683,160567.64628092345,3,360,29,0.0
2026-04-08,Male,Home Renovation,Self-Employed,Education Loan,Owned,35110.07890170202,0.0,581,9.720445767139358,100000.0,0,12,43,3635.7381034709297
2026-04-15,Male,Wedding,Student,Personal Loan,Rented,31741.58735177482,32.637751992776145,746,9.512422193688147,116623.23877961515,0,12,36,4828.625756426998
2026-04-25,Male,Home Renovation,Retired,Business Loan,Rented,59942.08148454633,17.01197644562001,574,7.132948798774137,134333.5125977212,3,60,33,6657.481575018796
2026-04-02,Male,Debt Consolidation,Unemployed,Car Loan,Owned,36681.17583657526,14.331698012548106,705,11.644220282528899,216227.62436688517,3,60,51,6311.15359580314
2026-04-22,Male,Debt Consolidation,Retired,Personal Loan,Jointly Owned,33430.035606168734,3.9286777384743816,868,7.943450716135478,139226.34269032846,2,60,45,1128.6483055204349
2026-04-10,Female,Debt Consolidation,Student,Home Loan,Owned,54213.196650493075,0.0,663,12.8114190768519,246297.55902156778,3,60,37,5366.282097540381
2026-04-21,Male,Business Expansion,Business Owner,Home Loan,Rented,50597.06295330799,18.77628455057461,669,13.30613167730855,100000.0,2,12,55,3397.984880455217
2026-04-22,Male,Home Renovation,Retired,Education Loan,Jointly Owned,86828.18066723143,19.64622661817232,761,7.445686696217628,173585.63201104302,4,60,47,3919.336193299435
2026-04-14,Female,Debt Consolidation,Retired,Personal Loan,Owned,56578.26903300575,17.48989235428436,749,14.860516589014317,182460.12130708055,1,24,29,2005.3037135175573
2026-04-05,Female,Education,Retired,Car Loan,Jointly Owned,53598.152535377194,9.941981181891558,749,13.280660098862148,103988.60782939868,0,120,21,4847.278989152212
2026-04-27,Female,Debt Consolidation,Self-Employed,Home Loan,Rented,42626.67705638606,5.230498252624752,662,10.946001572360501,145497.55036837026,3,360,39,14397.304084573536
2026-04-17,Male,Wedding,Retired,Home Loan,Jointly Owned,63404.93943792689,27.117358879960168,736,8.060587950289975,144751.99234745803,0,36,51,10569.326946751415
2026-04-18,Male,Home Renovation,Student,Business Loan,Rented,50547.71884713249,15.651855066757122,653,5.0,204346.06010227549,4,360,44,2003.8829424334067
2026-04-19,Male,Education,Unemployed,Business Loan,Owned,43217.01126924806,12.80411183825807,736,10.540262450792044,100000.0,1,360,53,5197.833008012022
2026-04-07,Male,Wedding,Salaried,Personal Loan,Jointly Owned,47874.00271423574,0.0,688,10.850153882617763,243957.58228862841,3,360,32,4058.0431896827645
2026-04-26,Male,Vehicle Purchase,Business Owner,Business Loan,Jointly Owned,45992.11774766808,0.0,760,12.749420892389592,100000.0,2,36,36,5426.0799708972845
2026-04-25,Female,Vehicle Purchase,Unemployed,Personal Loan,Jointly Owned,49797.953748747575,43.44071282857998,771,5.623604866638268,171188.479851686,2,120,37,7748.927319510378
2026-04-18,Female,Vehicle Purchase,Salaried,Car Loan,Rented,84808.75608823105,20.98655752708224,733,13.000316138719043,106321.3034275918,3,24,40,4612.03264271678
2026-04-12,Male,Wedding,Unemployed,Car Loan,Owned,60625.48001581748,28.021056609296245,637,13.349177976469468,173849.66302309846,3,120,45,2863.306776014553
2026-04-15,Male,Home Renovation,Retired,Car Loan,Owned,48240.13883453344,0.0,578,11.597201798254277,116937.71802611052,4,12,54,8469.452165355902
2026-04-29,Female,Home Renovation,Business Owner,Business Loan,Rented,50147.05054573611,23.465118259311136,608,7.151998759564723,217301.30366645902,1,12,56,1297.90324263305
2026-04-14,Male,Wedding,Unemployed,Business Loan,Jointly Owned,30085.655742987194,4.30885363867795,621,9.954017838144411,155026.9113343623,3,36,54,5567.911575861325
2026-04-10,Female,Home Renovation,Business Owner,Education Loan,Rented,23916.9854707017,10.2406480567631,900,7.647648664728318,129028.6450762123,2,48,44,541.6908512856753
2026-04-17,Female,Medical Emergency,Self-Employed,Home Loan,Rented,62178.781266294754,16.67533466473633,751,7.248913170330082,100000.0,1,120,34,1921.7805218783942
2026-04-01,Female,Wedding,Self-Employed,Car Loan,Owned,61877.429458019156,11.26913924532743,717,7.612105849296004,169393.7523950657,3,360,40,7234.366350092634
2026-04-04,Female,Education,Retired,Business Loan,Rented,57080.147199931234,11.181642945797993,654,11.078397445561802,172517.8996992663,1,24,44,2961.825694850144
2026-04-09,Male,Business Expansion,Retired,Home Loan,Jointly Owned,73295.01844069271,0.0,774,8.45446027476548,131849.76303868496,4,24,39,0.0
2026-04-04,Female,Business Expansion,Self-Employed,Car Loan,Rented,54287.067338291105,17.74834581233547,683,9.94290691620684,151469.29188530284,3,36,28,2831.9286302262635
2026-04-19,Male,Medical Emergency,Unemployed,Car Loan,Rented,63242.13740701965,0.0,726,12.196311111431386,164125.74227912462,3,360,33,2510.687088162646
2026-04-26,Male,Home Renovation,Salaried,Home Loan,Rented,49895.80339887446,0.0,746,10.517078371574554,182056.83032849227,1,60,46,1212.9026819027008
2026-04-24,Male,Business Expansion,Salaried,Home Loan,Jointly Owned,13516.896376190838,10.125884630748052,732,9.536623234153891,100083.76461019757,3,120,35,6650.260142226295
2026-04-25,Male,Education,Self-Employed,Business Loan,Rented,68491.62314770668,0.0,704,10.174672509221738,126970.03396391889,1,48,38,359.5619553141087
2026-04-05,Male,Wedding,Salaried,Home Loan,Owned,36450.203935546124,26.20343823819724,617,14.536412731662285,180549.60545357328,1,12,37,3236.187554370178
2026-04-18,Male,Debt Consolidation,Unemployed,Home Loan,Rented,54878.59404143084,26.287122168069345,703,13.764176505241279,144704.74669559294,3,12,29,5400.2235162907655
2026-04-15,Male,Wedding,Salaried,Business Loan,Rented,40451.52734322849,2.1884705425036186,785,5.0,100000.0,2,12,36,3971.630296931667
2026-04-20,Female,Education,Student,Car Loan,Owned,54993.05513652726,4.806933988431291,759,9.316835637612359,229610.03372782527,4,12,33,3787.428159161137
2026-04-26,Female,Home Renovation,Salaried,Home Loan,Owned,76046.37632885811,9.104232205137043,724,10.566421756973522,192323.13411158414,1,24,31,2831.881592891737
2026-04-08,Male,Education,Student,Education Loan,Owned,59971.47223408179,0.0,764,15.678555265075337,100000.0,2,24,27,1343.64013062829
2026-04-02,Male,Vehicle Purchase,Self-Employed,Personal Loan,Owned,63218.84381479211,0.0,603,10.066759207670298,117165.17059835367,1,60,36,3089.717495533797
2026-04-25,Male,Home Renovation,Business Owner,Home Loan,Owned,48368.534186856,19.38968041449122,686,9.523125824588986,228630.87836110636,2,24,44,6972.678228113611
